actual,proposed
-2.3935000896453857,-0.4327237010002136
-2.374692678451538,-0.4512168765068054
-2.405705451965332,-0.45241668820381165
-2.392357587814331,-0.4675905704498291
-2.43593430519104,-0.4734867811203003
-2.386211395263672,-0.47863292694091797
-2.3989944458007812,-0.4790183901786804
-2.4032557010650635,-0.4790183901786804
-2.3497300148010254,-0.4790183901786804
-2.3497300148010254,-0.4691881537437439
-2.353895902633667,-0.4691881537437439
-2.315530776977539,-0.4691881537437439
-2.323727607727051,-0.4640023410320282
-2.323727607727051,-0.46482306718826294
-2.284560441970825,-0.4672880470752716
-2.284560441970825,-0.46103349328041077
-2.284560441970825,-0.4626500904560089
-2.2925684452056885,-0.46428200602531433
-2.2925684452056885,-0.4707597494125366
-2.232367753982544,-0.4707597494125366
-2.243894577026367,-0.46077558398246765
-2.243894577026367,-0.464741051197052
-2.1760170459747314,-0.44992420077323914
-2.1834311485290527,-0.45763397216796875
-2.2019660472869873,-0.4646326005458832
-2.19771671295166,-0.46606922149658203
-2.212392568588257,-0.4746585786342621
-2.2344064712524414,-0.4817498028278351
-2.195580005645752,-0.47649145126342773
-2.1991617679595947,-0.47882431745529175
-2.2027432918548584,-0.47882431745529175
-2.1093342304229736,-0.47726574540138245
-2.10244083404541,-0.45554736256599426
-2.08520770072937,-0.44665104150772095
-2.052830696105957,-0.44665104150772095
-2.052830696105957,-0.43899357318878174
-2.056229591369629,-0.4404475688934326
-2.0596280097961426,-0.44336146116256714
-2.049165964126587,-0.4425608217716217
-2.0185787677764893,-0.43738725781440735
-2.0251753330230713,-0.43881580233573914
-2.0317718982696533,-0.44527673721313477
-2.0233428478240967,-0.4517877399921417
-2.0233428478240967,-0.44772619009017944
-2.05257248878479,-0.4534810781478882
-1.9922449588775635,-0.44719329476356506
-1.9922449588775635,-0.4486031234264374
-2.0142414569854736,-0.4542657732963562
-2.0142414569854736,-0.4571165144443512
-1.909875750541687,-0.4341212511062622
-1.9188143014907837,-0.4361528754234314
-1.8456403017044067,-0.43818873167037964
-1.8513633012771606,-0.4221407473087311
-1.794943928718567,-0.41309216618537903
-1.8004753589630127,-0.4156387746334076
-1.813205361366272,-0.422425776720047
-1.8187334537506104,-0.42371296882629395
-1.795406460762024,-0.420187383890152
-1.8035551309585571,-0.4240080714225769
-1.8286291360855103,-0.4240080714225769
-1.8111987113952637,-0.4290086627006531
-1.8139060735702515,-0.4290086627006531
-1.8139060735702515,-0.43029144406318665
-1.7838815450668335,-0.4231730103492737
-1.7838815450668335,-0.4231730103492737
-1.7838815450668335,-0.4231730103492737
-1.7838815450668335,-0.42380425333976746
-1.7858275175094604,-0.42363622784614563
-1.7884809970855713,-0.42679497599601746
-1.685301661491394,-0.40218520164489746
-1.6878020763397217,-0.403378963470459
-1.6953034400939941,-0.40757066011428833
-1.7017688751220703,-0.4091242551803589
-1.7067815065383911,-0.4127447009086609
-1.659228801727295,-0.4012509286403656
-1.6543700695037842,-0.39890554547309875
-1.6519407033920288,-0.3989047110080719
-1.6567994356155396,-0.40066373348236084
-1.5869176387786865,-0.3843335807323456
-1.5892378091812134,-0.38545769453048706
-1.5938777923583984,-0.3877107799053192
-1.5897799730300903,-0.38840237259864807
-1.5943881273269653,-0.38840237259864807
-1.5943881273269653,-0.3923490345478058
-1.6013001203536987,-0.39404916763305664
-1.5375133752822876,-0.39461585879325867
-1.5397193431854248,-0.38053688406944275
-1.5419251918792725,-0.38162755966186523
-1.571459412574768,-0.3889347314834595
-1.575942873954773,-0.39227405190467834
-1.539294958114624,-0.39227405190467834
-1.539294958114624,-0.3864246904850006
-1.548003911972046,-0.38970568776130676
