dbw_enabled,linear_current,angular_current,linear_required,angular_required,throttle,brake,steer,dx_c,dy_c,theta_c
TRUE,4.698412752,0,2.185097431,0,0,798.6277182,0,1137.715,1183.821,0.1125657
TRUE,4.698412752,0,2.185097431,0,0,805.2137237,0,1137.715,1183.821,0.1125657
TRUE,4.698412752,0,2.060296247,0,0,833.6824522,0,1137.715,1183.821,0.1125657
TRUE,4.698412752,0,2.060296247,0,0,842.129467,0,1137.715,1183.821,0.1125657
TRUE,4.698412752,0,2.060296247,0,0,847.7687641,0,1137.715,1183.821,0.1125657
TRUE,4.698412752,0,2.060296247,0,0,851.5203416,0,1137.715,1183.821,0.1125657
TRUE,5.313839309,0,2.060296247,0,0,973.6854356,0,1139.303,1183.955,0.1151159
TRUE,5.313839309,0,1.881025569,0,0,1051.989288,0,1139.303,1183.955,0.1151159
TRUE,5.313839309,0,1.881025569,0,0,1073.934145,0,1139.303,1183.955,0.1151159
TRUE,5.313839309,0,1.881025569,0,0,1088.5537,0,1139.303,1183.955,0.1151159
TRUE,5.313839309,0,1.881025569,0,0,1098.31042,0,1139.303,1183.955,0.1151159
TRUE,5.313839309,0,1.881025569,0,0,1104.80455,0,1139.303,1183.955,0.1151159
TRUE,5.313839309,0,1.881025569,0,0,1109.14432,0,1139.303,1183.955,0.1151159
TRUE,5.750333635,0,1.881025569,0,0,1233.101946,0,1141.162,1184.113,0.1155823
TRUE,5.750333635,0,1.881025569,0,0,1242.054328,0,1141.162,1184.113,0.1155823
TRUE,5.750333635,0,1.881025569,0,0,1248.010916,0,1141.162,1184.113,0.1155823
TRUE,5.750333635,0,1.881025569,0,0,1251.993641,0,1141.162,1184.113,0.1155823
TRUE,5.750333635,0,1.682765953,0,0,1309.630377,0,1141.162,1184.113,0.1155823
TRUE,5.750333635,0,1.682765953,0,0,1314.592978,0,1141.162,1184.113,0.1155823
TRUE,5.750333635,0,1.682765953,0,0,1317.889115,0,1141.162,1184.113,0.1155823
TRUE,5.750333635,0,1.682765953,0,0,1320.098803,0,1141.162,1184.113,0.1155823
TRUE,5.750333635,0,1.682765953,0,0,1321.559665,0,1141.162,1184.113,0.1155823
TRUE,5.750333635,0,1.682765953,0,0,1322.545837,0,1141.162,1184.113,0.1155823
TRUE,5.750333635,0,1.682765953,0,0,1323.191021,0,1141.162,1184.113,0.1155823
TRUE,6.241152262,0,1.682765953,0,0,1418.5191,0,1143.206,1184.286,0.1149772
TRUE,6.241152262,0,1.682765953,0,0,1440.44665,0,1143.206,1184.286,0.1149772
TRUE,6.241152262,0,1.682765953,0,0,1455.07876,0,1143.206,1184.286,0.1149772
TRUE,6.241152262,0,1.396188028,0,0,1544.310742,0,1143.206,1184.286,0.1149772
TRUE,6.241152262,0,1.396188028,0,0,1555.42752,0,1143.206,1184.286,0.1149772
TRUE,6.241152262,0,1.396188028,0,0,1562.824098,0,1143.206,1184.286,0.1149772
TRUE,6.241152262,0,1.396188028,0,0,1567.769757,0,1143.206,1184.286,0.1149772
TRUE,6.241152262,0,1.396188028,0,0,1571.052256,0,1143.206,1184.286,0.1149772
TRUE,6.241152262,0,1.396188028,0,0,1573.255196,0,1143.206,1184.286,0.1149772
TRUE,6.241152262,0,1.396188028,0,0,1574.709216,0,1143.206,1184.286,0.1149772
TRUE,6.702962464,0.036109106,1.396188028,0,0,1652.806144,0,1145.29,1184.462,0.1146305
TRUE,6.702962464,0,1.396188028,0,0,1677.86806,0,1145.29,1184.462,0.1146305
TRUE,6.702962464,0,1.396188028,0,0,1694.592004,0,1145.29,1184.462,0.1146305
TRUE,6.702962464,0,1.030886749,0,0,1732.728002,0,1145.29,1184.462,0.1146305
TRUE,6.702962464,0,1.030886749,0,0,1758.152002,0,1145.29,1184.462,0.1146305
TRUE,6.702962464,0,1.030886749,0,0,1775.101334,0,1145.29,1184.462,0.1146305
TRUE,6.702962464,0,1.030886749,0,0,1786.40089,0,1145.29,1184.462,0.1146305
TRUE,6.702962464,0,1.030886749,0,0,1793.933926,0,1145.29,1184.462,0.1146305
TRUE,6.702962464,0,1.030886749,0,0,1798.955951,0,1145.29,1184.462,0.1146305
TRUE,7.329269974,0,1.030886749,0,0,1802.303967,0,1147.673,1184.664,0.1193913
TRUE,7.329269974,0,1.030886749,0,0,1804.535978,0,1147.673,1184.664,0.1193913
TRUE,7.329269974,0,1.030886749,0,0,1806.023985,0,1147.673,1184.664,0.1193913
