actual,proposed
-1.5897799730300903,-0.5178840160369873
-1.5943881273269653,-0.5331257581710815
-1.5943881273269653,-0.5286128520965576
-1.5375133752822876,-0.5325894951820374
-1.5375133752822876,-0.5061262249946594
-1.5397193431854248,-0.49782347679138184
-1.5419251918792725,-0.505920946598053
-1.5692176818847656,-0.5070838928222656
-1.5692176818847656,-0.5035016536712646
-1.571459412574768,-0.5053516030311584
-1.575942873954773,-0.5101044178009033
-1.5371177196502686,-0.49582797288894653
-1.5371177196502686,-0.4988805055618286
-1.539294958114624,-0.477369487285614
-1.539294958114624,-0.48028093576431274
-1.548003911972046,-0.46602925658226013
-1.5636446475982666,-0.4518362283706665
-1.5658377408981323,-0.4597513675689697
-1.568030834197998,-0.4559169113636017
-1.5746099948883057,-0.462205708026886
-1.529062032699585,-0.4641922116279602
-1.529062032699585,-0.46238258481025696
-1.5333154201507568,-0.45473387837409973
-1.4885103702545166,-0.45586150884628296
-1.4885103702545166,-0.43140822649002075
-1.5008630752563477,-0.4332423806190491
-1.5008630752563477,-0.43636658787727356
-1.4574819803237915,-0.4392341375350952
-1.4574819803237915,-0.4417349696159363
-1.4634634256362915,-0.42930325865745544
-1.4674512147903442,-0.41353729367256165
-1.4620054960250854,-0.41414156556129456
-1.4620054960250854,-0.4153501093387604
-1.4639917612075806,-0.41784989833831787
-1.4639917612075806,-0.4023641347885132
-1.4639917612075806,-0.409482479095459
-1.4636582136154175,-0.4112364947795868
-1.4636582136154175,-0.4016781151294708
-1.4636582136154175,-0.4039495587348938
-1.4656442403793335,-0.40915507078170776
-1.4631414413452148,-0.4097278416156769
-1.4631414413452148,-0.39955025911331177
-1.467106580734253,-0.3894856870174408
-1.4710718393325806,-0.3932476043701172
-1.4710718393325806,-0.3839707672595978
-1.4710718393325806,-0.3841058313846588
-1.4710718393325806,-0.38462743163108826
-1.4972501993179321,-0.3860987722873688
-1.4972501993179321,-0.3875279426574707
-1.5563018321990967,-0.38961049914360046
-1.5563018321990967,-0.39547500014305115
-1.5604521036148071,-0.4143751263618469
-1.5687522888183594,-0.41658398509025574
-1.5687522888183594,-0.41990891098976135
-1.5729024410247803,-0.42101919651031494
-1.5729024410247803,-0.4226890206336975
-1.673888921737671,-0.4238022267818451
-1.6760884523391724,-0.45277392864227295
-1.6804876327514648,-0.4533669948577881
-1.6804876327514648,-0.4551507830619812
-1.7291336059570312,-0.46892938017845154
-1.7291336059570312,-0.4707646667957306
-1.7381511926651,-0.4719882011413574
-1.7381511926651,-0.47567787766456604
-1.7753456830978394,-0.48710897564888
-1.8158961534500122,-0.48961806297302246
-1.8182153701782227,-0.5040047764778137
-1.8182153701782227,-0.5059342980384827
-1.8298109769821167,-0.5117474794387817
-1.8764303922653198,-0.5241144299507141
-1.8764303922653198,-0.5254385471343994
-1.8787964582443237,-0.5267659425735474
-1.8787964582443237,-0.5294232368469238
-1.8882615566253662,-0.5334238409996033
-1.8786808252334595,-0.5340917110443115
-1.8833832740783691,-0.5327131152153015
-1.8833832740783691,-0.5353776812553406
-1.888085961341858,-0.5367133021354675
-1.935203194618225,-0.537381112575531
-1.935203194618225,-0.5507792234420776
-1.937610149383545,-0.5521489381790161
-1.937610149383545,-0.5521489381790161
-1.9990367889404297,-0.5528342127799988
-1.9990367889404297,-0.5710501074790955
-2.0064773559570312,-0.5724639296531677
-2.0064773559570312,-0.57672119140625
-2.0213584899902344,-0.5831383466720581
-2.1553773880004883,-0.5845679044723511
-2.1632916927337646,-0.6232811808586121
-2.1632916927337646,-0.63092041015625
-2.1817588806152344,-0.6386134624481201
-2.19876766204834,-0.6401559710502625
